TYPE	OCC	ZOOM
standard_hd	1	14
standard	1	18
photo	1	9
traffic_hd	1	18
photo	1	14
traffic_hd	1	9
public_transport_hd	1	18
photo	1	9
public_transport_hd	2	18
standard	1	19
public_transport_hd	1	18
photo	1	18
standard_hd	1	15
standard	2	17
public_transport_hd	1	18
standard_hd	1	16
standard	3	17,19
standard_hd	1	13
standard	1	17
standard_hd	2	12,11
traffic_hd	2	18
standard	1	17
standard_hd	4	11,13,18
photo	1	12
standard_hd	2	15,13
standard	2	18
traffic_hd	1	18
standard_hd	1	19
standard	2	19
photo	1	17
standard_hd	3	19,13
standard	1	19
photo	1	19
standard_hd	1	13
standard	1	19
photo	1	10
standard_hd	4	16,17,15
public_transport_hd	1	18
standard_hd	2	19,16
standard	1	15
standard_hd	1	16
photo	1	10
standard_hd	2	16
photo	1	14
standard_hd	3	18
standard	2	19
standard_hd	1	18
traffic	1	8
standard_hd	1	15
standard	1	19
standard_hd	1	18
standard	1	19
standard_hd	2	17,18
standard	1	18
standard_hd	6	17,18,15
photo	4	19,17
standard	1	19
photo	1	17
standard_hd	3	18
traffic_hd	1	18
standard	2	19,12
standard_hd	2	18,19
photo	1	19
standard_hd	1	12
photo	6	19,11,14
standard_hd	3	18
traffic_hd	1	14
standard_hd	3	16,11,15
photo	2	14
standard	1	13
standard_hd	1	15
standard	1	13
photo	2	19,11
standard	3	12,19,17
photo	1	19
standard	2	17,12
standard_hd	1	19
standard	6	16,17,19
photo	1	11
standard	2	19,16
photo	1	18
standard	1	19
photo	1	15
standard_hd	1	18
photo	3	11,15,18
standard	1	19
standard_hd	1	14
standard	1	19
standard_hd	1	16
standard	1	13
standard_hd	1	16
standard	1	19
standard_hd	1	15
standard	1	19
standard_hd	2	14,10
traffic_hd	1	19
photo	1	11
standard_hd	2	15,18
traffic_hd	2	19
standard	5	17,19
traffic_hd	1	18
standard	1	15
traffic_hd	2	11,18
standard_hd	1	18
traffic_hd	1	11
standard_hd	1	17
standard	1	15
standard_hd	1	10
standard	1	15
standard_hd	1	18
traffic_hd	1	18
standard	1	5
traffic_hd	1	18
standard	1	15
standard_hd	1	17
traffic	1	18
standard_hd	1	17
standard	4	19,18,15
standard_hd	1	13
standard	2	18
traffic_hd	1	12
standard_hd	1	13
photo	1	11
standard	1	19
photo	5	18
standard_hd	3	8,19,17
photo	1	15
standard_hd	1	17
traffic_hd	1	18
photo	5	18,15,17
traffic_hd	1	14
standard_hd	1	19
photo	3	18,15
standard	2	13,16
photo	1	18
standard_hd	1	13
traffic_hd	1	18
photo	1	18
standard	1	19
traffic_hd	1	18
standard	1	14
standard_hd	1	12
traffic_hd	1	14
standard_hd	3	12,6
photo	1	12
standard_hd	6	12,18
standard	2	16,19
standard_hd	1	17
standard	1	18
standard_hd	5	17,19,14
standard	2	14
photo	1	19
standard	1	19
traffic_hd	1	18
standard	1	19
photo	1	18
standard	2	19
traffic_hd	1	7
standard	5	14,18
traffic_hd	3	13,7
standard	1	19
standard_hd	2	14
photo	1	19
standard	4	19,14
standard_hd	1	17
standard	1	16
photo	1	19
standard_hd	1	15
photo	2	16
standard	3	15,19,16
standard_hd	2	14
photo	1	12
standard	2	15,13
photo	1	19
standard	1	18
standard_hd	1	17
standard	3	19,14
photo	2	14,19
standard_hd	2	15,17
standard	2	19,15
standard_hd	1	17
standard	1	19
standard_hd	1	17
standard	2	17,19
standard_hd	1	15
standard	2	17
traffic_hd	1	14
standard_hd	1	19
standard	1	17
standard_hd	1	19
photo	2	17
standard_hd	1	18
standard	2	14,19
standard_hd	1	19
standard	1	14
standard_hd	1	19
standard	2	17
standard_hd	1	17
standard	2	18,14
standard_hd	1	15
standard	1	18
traffic_hd	1	11
standard_hd	2	16
photo	3	19
standard_hd	3	16
traffic_hd	1	17
photo	1	19
standard	1	14
photo	5	19,17
standard	1	15
photo	7	17,18,19,12
standard	2	14,19
standard_hd	2	17
standard	1	14
standard_hd	1	17
traffic_hd	2	18
standard_hd	1	13
traffic_hd	1	18
standard_hd	6	16,13
standard	1	14
standard_hd	1	14
traffic_hd	1	0
standard_hd	4	16,19,10
photo	1	15
standard_hd	2	10,13
photo	2	15
standard_hd	3	17,16
standard	2	12,15
photo	1	18
standard_hd	1	19
standard	1	14
standard_hd	3	13,19
standard	2	16,13
standard_hd	4	12,16
standard	2	14,19
traffic_hd	1	11
standard	3	14,19
standard_hd	1	16
standard	1	16
standard_hd	2	17,11
standard	1	14
standard_hd	1	11
standard	1	19
standard_hd	3	13,19,11
standard	1	14
standard_hd	4	18,11,16
standard	1	14
standard_hd	2	13,18
photo	1	12
standard_hd	4	11,15
standard	2	14,16
standard_hd	1	11
traffic_hd	2	8,11
standard_hd	1	16
photo	1	16
standard	1	14
standard_hd	1	11
traffic_hd	1	18
standard_hd	7	19,15
standard	1	12
standard_hd	1	15
traffic_hd	1	11
standard_hd	9	15
photo	2	18,14
standard_hd	1	15
traffic_hd	1	18
photo	1	16
standard_hd	3	15,14,16
traffic_hd	1	11
standard	1	19
standard_hd	1	15
standard	1	15
standard_hd	1	19
standard	1	15
standard_hd	3	19,15,14
traffic_hd	1	18
standard	2	15,17
photo	1	19
standard_hd	1	19
photo	1	18
standard_hd	2	16
photo	2	17,18
traffic_hd	2	9
photo	1	17
standard_hd	1	14
standard	1	19
photo	1	14
standard_hd	2	14,12
photo	1	14
standard_hd	2	19,12
standard	1	14
traffic_hd	1	16
standard	1	15
standard_hd	2	19,14
photo	3	14,18
standard	2	14
standard_hd	4	14,12
traffic_hd	1	13
standard	1	19
standard_hd	3	14,16,13
traffic	1	8
standard	1	15
standard_hd	3	5,16,14
standard	1	19
standard_hd	5	16,14
standard	1	14
standard_hd	2	14
traffic	1	8
standard_hd	1	19
standard	1	19
standard_hd	4	13,17,14
standard	1	19
standard_hd	1	13
standard	1	15
photo	1	17
standard	1	15
standard_hd	1	15
traffic_hd	1	13
standard_hd	3	15
standard	3	15,19
photo	1	19
standard	2	15,19
standard_hd	1	12
standard	1	14
traffic_hd	1	19
standard_hd	2	19,17
standard	1	14
standard_hd	4	19,17,11
photo	1	19
standard	3	14,17,15
standard_hd	1	11
standard	3	19
standard_hd	1	19
traffic_hd	1	16
standard	2	17,19
standard_hd	2	18,13
photo	1	17
standard	1	15
standard_hd	2	19,11
standard	1	19
standard_hd	1	11
traffic_hd	1	17
standard	1	13
traffic_hd	1	17
photo	3	19
traffic_hd	2	17,18
standard	1	15
standard_hd	1	19
standard	1	19
standard_hd	3	12,19
standard	1	17
traffic_hd	1	9
traffic	1	15
standard	1	11
photo	1	19
standard_hd	1	19
standard	4	13,19
photo	1	19
standard_hd	1	19
photo	1	19
standard_hd	8	13,12,18
photo	1	19
standard	1	15
photo	1	19
standard	1	13
photo	1	18
traffic_hd	1	12
standard_hd	1	19
photo	1	19
standard	1	19
traffic_hd	2	12,19
standard_hd	1	18
traffic_hd	1	19
standard	2	19,15
standard_hd	4	17
standard	1	19
standard_hd	1	19
standard	1	19
standard_hd	1	14
photo	1	19
standard_hd	1	12
standard	2	19,12
standard_hd	2	16,12
traffic	1	11
standard	1	8
standard_hd	1	19
photo	1	19
standard	1	19
photo	2	19
standard_hd	1	17
standard	4	8,19,15
traffic_hd	1	12
standard_hd	1	17
traffic_hd	1	12
standard	1	13
traffic_hd	2	12
standard_hd	1	19
traffic_hd	1	12
standard_hd	2	16,19
traffic_hd	1	12
standard_hd	1	17
photo	1	12
standard_hd	1	16
standard	1	19
traffic_hd	3	12
standard_hd	3	16,18
traffic_hd	2	14,9
standard_hd	1	18
standard	1	15
standard_hd	1	18
standard	2	15,14
traffic_hd	1	18
standard_hd	2	16
public_transport_hd	1	17
photo	1	16
standard_hd	1	16
traffic_hd	1	11
public_transport_hd	2	17
standard	1	19
photo	1	19
standard_hd	1	16
public_transport_hd	2	17
photo	1	19
traffic_hd	1	11
photo	3	18
public_transport_hd	1	17
standard_hd	1	16
standard	1	19
public_transport_hd	2	17
standard	1	15
public_transport_hd	1	17
standard	1	18
standard_hd	2	16
public_transport_hd	1	17
standard_hd	3	18,16,19
standard	1	16
standard_hd	2	16
standard	1	16
public_transport_hd	1	17
standard	1	16
standard_hd	3	16,18
photo	1	18
standard	1	13
public_transport_hd	1	17
photo	1	18
standard	1	15
photo	5	18
standard_hd	2	15
standard	1	19
public_transport_hd	2	17
standard_hd	1	15
traffic_hd	1	8
standard	2	19,18
public_transport_hd	1	17
standard_hd	1	18
public_transport_hd	2	17
standard	2	13,15
public_transport_hd	1	17
standard	1	19
standard_hd	1	17
standard	2	19
standard_hd	1	18
public_transport_hd	1	17
standard	1	19
public_transport_hd	1	17
standard	1	19
standard_hd	1	18
traffic	1	18
photo	1	19
standard	1	16
public_transport_hd	2	17
standard	1	19
standard_hd	1	16
public_transport_hd	3	17
standard	1	19
public_transport_hd	1	17
